URL, setup, original errors?, nondex OFF errors?, nondex ONE errors?, nondex FULL errors?, time, description
setup key: t=travis file, r=requirements file, f=failed
tests key: p=passed, f=test failures, e=test errors, u=nonzero exit code, but unknown reason
https://github.com/python-excel/xlwt,t,e,e,e,e,17,
https://github.com/jlafon/PynamoDB,t,p,p,p,f,72,
https://github.com/pallets/jinja,t,p,p,p,p,40,
https://github.com/scrapinghub/dateparser,t,f,f,f,f,874,
https://github.com/pydata/xarray,t,e,e,e,e,47,
https://github.com/flask-admin/flask-admin,t,?,?,?,?,-1,Command 'nosetests flask_admin/tests --with-coverage --cover-erase --cover-inclusive' timed out after 180 seconds
https://github.com/thadeusb/flask-cache,t,u,u,u,u,15,
https://github.com/gorakhargosh/watchdog,t,e,e,e,e,602,
https://github.com/qw3rtman/p,f,?,?,?,?,-1,
https://github.com/yyuu/pyenv,t,p,p,p,p,265,
https://github.com/nvie/pip-tools,t,e,e,e,e,503,
https://github.com/conda/conda,t,u,u,u,u,0,
https://github.com/pypa/warehouse,?,?,?,?,?,-1,Command 'timeout 180 git -C /home/yan/pynondex/python-2.7.12-nondex/libtest/libs/warehouse/ pull' returned non-zero exit status 1
https://github.com/mvantellingen/localshop,?,?,?,?,?,-1,Command 'timeout 180 git -C /home/yan/pynondex/python-2.7.12-nondex/libtest/libs/localshop/ pull' returned non-zero exit status 1
https://github.com/pyinstaller/pyinstaller,t,e,e,e,e,73,
https://github.com/spotify/dh-virtualenv,t,p,p,p,p,17,
https://github.com/platformio/platformio,t,?,?,?,?,-1,Command 'tox -e $TOX_ENV' timed out after 180 seconds
https://github.com/pybuilder/pybuilder,t,?,?,?,?,-1,Command './build.py -v -X install_dependencies analyze install' timed out after 180 seconds
https://github.com/bpython/bpython,t,p,p,p,p,10,
https://github.com/jonathanslenders/ptpython,t,e,e,e,e,108,
https://github.com/jaraco/path.py,t,p,p,p,p,81,
https://github.com/ahupp/python-magic,t,f,f,f,f,32,
https://github.com/mikeorr/Unipath,f,?,?,?,?,-1,
